曲线名称	日期	3月	6月	1年	3年	5年	7年	10年	30年
中债中短期票据收益率曲线(AAA)	2018-12-18	3.4817	3.4607	3.6834	3.9540	4.1280	4.2439	4.3215
中债国债收益率曲线	2018-12-17	2.5525	2.5679	2.4711	2.9339	3.0574	3.2923	3.3713	3.8407
中债商业银行普通债收益率曲线(AAA)	2018-12-17	3.3003	3.3501	3.4864	3.7760	4.0444	4.1250	4.2274	4.6978
中债中短期票据收益率曲线(AAA)	2018-12-17	3.4392	3.4607	3.6442	3.9307	4.1047	4.2302	4.3353
中债国债收益率曲线	2018-12-14	2.5525	2.5985	2.4792	2.9153	3.0506	3.2520	3.3468	3.8307
中债商业银行普通债收益率曲线(AAA)	2018-12-14	3.2334	3.3345	3.4928	3.7635	4.0302	4.0998	4.2305	4.7009
中债中短期票据收益率曲线(AAA)	2018-12-14	3.3916	3.4839	3.6370	3.9017	4.0904	4.2050	4.3384
中债国债收益率曲线	2018-12-13	2.5201	2.5983	2.4617	2.8943	3.0438	3.2564	3.3311	3.8217
中债商业银行普通债收益率曲线(AAA)	2018-12-13	3.1707	3.2905	3.4491	3.7273	3.9937	4.0774	4.2081	4.6755
中债中短期票据收益率曲线(AAA)	2018-12-13	3.3344	3.4504	3.6337	3.8738	4.0539	4.1827	4.3160
中债国债收益率曲线	2018-12-12	2.5184	2.5198	2.4607	2.8708	3.0057	3.2356	3.2703	3.7517
中债商业银行普通债收益率曲线(AAA)	2018-12-12	3.1504	3.2449	3.4650	3.7480	3.9582	4.0854	4.2099	4.6753
中债中短期票据收益率曲线(AAA)	2018-12-12	3.2381	3.3975	3.5954	3.8433	4.0322	4.1907	4.3178
中债国债收益率曲线	2018-12-11	2.4661	2.4709	2.4742	2.8680	2.9970	3.2404	3.2652	3.7517
中债商业银行普通债收益率曲线(AAA)	2018-12-11	3.1499	3.2375	3.4587	3.7418	3.9748	4.1214	4.2149	4.6763
中债中短期票据收益率曲线(AAA)	2018-12-11	3.2413	3.3900	3.6009	3.8480	4.0364	4.2266	4.3228
中债国债收益率曲线	2018-12-10	2.4561	2.4709	2.4839	2.8580	2.9930	3.2306	3.2678	3.7767
中债商业银行普通债收益率曲线(AAA)	2018-12-10	3.1384	3.2374	3.4522	3.7367	3.9913	4.1413	4.2389	4.6753
中债中短期票据收益率曲线(AAA)	2018-12-10	3.1387	3.3574	3.6004	3.8721	4.0529	4.2568	4.3468
中债国债收益率曲线	2018-12-07	2.4010	2.4601	2.4600	2.8810	3.0227	3.2422	3.2853	3.7867
中债商业银行普通债收益率曲线(AAA)	2018-12-07	3.1198	3.2211	3.4527	3.7495	3.9984	4.1900	4.2486	4.6823
中债中短期票据收益率曲线(AAA)	2018-12-07	3.1418	3.3617	3.6094	3.8847	4.0655	4.3055	4.3565
